time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.odom_x,.odom_y,.odom_theta,.meas_rho,.meas_beta,.meas_theta,.delta_t,.gt_rho,.gt_beta,.gt_theta,.case0_x,.case0_y,.case0_t,rho,bearing,.case1_t,.case2_x,.case2_y,.case2_t,.case3_x,.case3_y,.case3_t,.case4_x,.case4_y,.case4_t,.case4_vj,.case4_wj
1970/01/01/09:00:06.674000,94,6,673000000,0,1.329222252,0.4099381598,0.01347809807,1.391000032,17.13999939,354.7262137,0.1,-0.505286,1.949466,6.191140372,-0.06711751968,-2.104978561,6.191753864,-0.5397845912,1.777034482,0.7755628228,-0.06447610259,-2.070813417,5.982554678,-0.06962872297,-2.108551979,6.138612498,-0.1175549477,-2.091870546,0.9543634883,0.05630258471,0.049701415
1970/01/01/09:00:06.823000,95,6,723000000,0,1.321079002,0.402382139,0.01349373062,1.381000042,16.94000053,354.7127145,0.05,-0.517912,1.947141,6.190904767,-0.06989546865,-2.097017765,6.191511154,-0.549474487,1.777077863,0.7984619141,-0.07023714483,-2.079469204,5.979079847,-0.07215308398,-2.099917173,6.141802628,-0.1052670181,-2.073479414,0.9592504102,0.06118035316,0.04894594103
1970/01/01/09:00:06.825000,96,6,774000000,0,1.349152965,0.3546987805,0.01360003028,1.394999981,14.72999954,354.6421206,0.051,-0.52959,1.944579,6.189672671,-0.05117032677,-2.091693401,6.190685272,-0.5598128968,1.775927656,0.8274546862,-0.03451824933,-2.049151182,6.004604999,-0.05309253931,-2.094634533,6.150050257,0.09961725771,-2.078830719,0.9632821208,0.1110454947,0.02028509788
1970/01/01/09:00:06.925000,97,6,873000000,0,1.344084558,0.3423530392,0.01345313406,1.386999965,14.28999996,354.7758688,0.099,-0.542061,1.942045,6.192007017,-0.06100017577,-2.105364323,6.189997673,-0.5747160336,1.778010909,0.791977644,-0.05656190962,-2.086457491,5.986782763,-0.0632038638,-2.108742714,6.142295961,-0.1033117101,-2.138608456,0.9673836445,0.05847746506,0.03475963697
1970/01/01/09:00:06.975000,98,6,973000000,0,1.340878736,0.3427828167,0.01310257051,1.383999944,14.34000015,354.5602504,0.1,-0.555173,1.938757,6.188243765,-0.06360688806,-2.112588882,6.188723087,-0.5923599103,1.781911208,0.7806276083,-0.06226795539,-2.101946115,5.983344261,-0.06595245749,-2.116567373,6.139575664,-0.0946483314,-2.123868227,0.9722007532,0.07441483438,0.02982322127
1970/01/01/09:00:07.124000,99,7,23000000,0,1.334756012,0.3658992113,0.0129053936,1.383999944,15.32999992,354.542075,0.05,-0.568941,1.935673,6.187926546,-0.08411391079,-2.10202384,6.18851757,-0.6035005047,1.782729414,0.8118856549,-0.1029062569,-2.153583765,5.953980152,-0.08630499244,-2.10523057,6.140593905,-0.2673656046,-2.068721533,0.9786933781,0.05837230384,0.04345107451
1970/01/01/09:00:07.125000,100,7,73000000,0,1.332756777,0.3731155552,0.01307154572,1.383999944,15.64000034,354.4534649,0.05,-0.580774,1.933009,6.186380008,-0.08938759565,-2.113844872,6.187054634,-0.6079459479,1.777166622,0.7853354216,-0.1112466529,-2.169988871,5.949942891,-0.09184489399,-2.11789465,6.134700451,-0.1832784414,-2.131402493,0.9866520794,0.06476215273,0.02231726982
1970/01/01/09:00:07.225000,101,7,173000000,0,1.341763442,0.3668132439,0.01319422903,1.391000032,15.28999996,354.4366796,0.1,-0.5922,1.930647,6.186087048,-0.1004514918,-2.1299088,6.185604572,-0.6200143089,1.769797468,0.7444925904,-0.1303869784,-2.197678566,5.938163284,-0.103377834,-2.135011911,6.124682654,-0.2184070647,-2.155719995,0.9955532586,0.05628255755,0.01815187372
1970/01/01/09:00:07.277000,102,7,274000000,0,1.352989295,0.3597497767,0.01311159093,1.399999976,14.89000034,354.3883266,0.101,-0.605387,1.927623,6.18524313,-0.08412596583,-2.110408306,6.185697079,-0.6260360967,1.765875865,0.820135057,-0.09649686515,-2.171080351,5.962139849,-0.08625459671,-2.114018202,6.141231183,0.03682558239,-2.077510357,1.004803504,0.137162894,0.0003176890314
1970/01/01/09:00:07.375000,103,7,373000000,0,1.350737594,0.3525961266,0.01258788446,1.396000028,14.63000011,354.3291765,0.099,-0.617912,1.924593,6.184210767,-0.10195674,-2.105972528,6.184758186,-0.6412095972,1.764957662,0.8408876061,-0.1329967529,-2.228564978,5.933661137,-0.1041050851,-2.109763384,6.141245369,-0.2214568108,-2.090018749,1.015938704,0.05852764845,0.03539349511
1970/01/01/09:00:07.474000,104,7,423000000,0,1.337402309,0.3561051939,0.01255474163,1.383999944,14.90999985,354.3099687,0.05,-0.631066,1.92139,6.183875527,-0.09868651628,-2.106887341,6.18436861,-0.6516402463,1.755446323,0.8420161009,-0.1235577762,-2.221265078,5.940838013,-0.100654386,-2.109929323,6.142467488,-0.1010414213,-2.109344721,1.028435262,0.07616452128,0.0239392221
1970/01/01/09:00:07.574000,105,7,473000000,0,1.337195267,0.364561273,0.01250920262,1.386000037,15.25,354.2837465,0.05,-0.643977,1.918168,6.183417863,-0.09607885778,-2.11532259,6.183497429,-0.658613417,1.746161796,0.8260160089,-0.1162208617,-2.217416048,5.947840337,-0.09810068458,-2.118466377,6.140107025,-0.07279752195,-2.131378889,1.041490325,0.08203570545,0.0156352669
1970/01/01/09:00:07.577000,106,7,574000000,0,1.335363083,0.3401315842,0.01211947708,1.378000021,14.28999996,354.2210725,0.101,-0.657895,1.914392,6.182323994,-0.1070148498,-2.118491888,6.182416439,-0.6708851413,1.74616923,0.8247558475,-0.1378869861,-2.252764463,5.932836596,-0.1091805771,-2.122123718,6.137327839,-0.1926942319,-2.117031336,1.05047877,0.05861639231,0.02938489616
1970/01/01/09:00:07.675000,107,7,673000000,0,1.349195725,0.3259063156,0.01186614908,1.388000011,13.57999992,354.1512759,0.099,-0.670139,1.910763,6.181105815,-0.1140455827,-2.129784107,6.181061745,-0.6855177149,1.747719082,0.799436748,-0.150109902,-2.274483919,5.926057581,-0.116530776,-2.134140253,6.130828891,-0.194457531,-2.145242453,1.056028917,0.0596235171,0.01992348954
1970/01/01/09:00:07.773000,108,7,723000000,0,1.33880407,0.3387695057,0.01175582451,1.381000042,14.19999981,354.1449067,0.05,-0.682438,1.907117,6.180994651,-0.1129246131,-2.142338276,6.180498123,-0.6955830714,1.749432584,0.7732855082,-0.143602863,-2.269060373,5.931732897,-0.1155024841,-2.146277428,6.125950355,-0.1225434616,-2.172485352,1.06039224,0.06962901354,0.01265943423
1970/01/01/09:00:07.874000,109,7,773000000,0,1.333424532,0.327273721,0.0116363058,1.373000026,13.78999996,354.0960179,0.05,-0.694739,1.903149,6.18014138,-0.1194221079,-2.152384758,6.17964983,-0.7131481854,1.742471699,0.7557769418,-0.154085651,-2.286127567,5.925733809,-0.1221987009,-2.156576157,6.120776002,-0.1749646366,-2.171364307,1.070550057,0.06321296841,0.01472810935
1970/01/01/09:00:07.924000,110,7,824000000,0,1.342784769,0.3139584705,0.01214596409,1.378999949,13.15999985,354.4262656,0.051,-0.707263,1.899637,6.185905291,-0.1162555739,-2.146878719,6.180510044,-0.7246753921,1.725131634,0.7751266956,-0.1443690211,-2.277306795,5.933400397,-0.1187373474,-2.150266171,6.124652509,-0.09960666299,-2.134956837,1.082034323,0.07855204493,0.01221635845
1970/01/01/09:00:07.925000,111,7,874000000,0,1.346506281,0.3242619435,0.01228748613,1.38499999,13.53999996,354.0215687,0.05,-0.719847,1.896091,6.178841997,-0.1151130646,-2.154909611,6.179285049,-0.7433986848,1.706839812,0.7669520974,-0.1395914108,-2.276344538,5.940155093,-0.1177380234,-2.159018993,6.12265252,-0.09473919123,-2.166257381,1.097079061,0.08185946196,-0.0001427279785
1970/01/01/09:00:07.975000,112,7,973000000,0,1.344561893,0.3237937012,0.01218651072,1.383000016,13.53999996,353.9859463,0.099,-0.732551,1.892541,6.178220269,-0.1166417152,-2.15508604,6.178597927,-0.760309889,1.698858399,0.7765448093,-0.1407438815,-2.281245232,5.941291932,-0.1191920862,-2.159031391,6.123619873,-0.1200692803,-2.151097536,1.107149611,0.08300468326,0.002074977616
1970/01/01/09:00:08.074000,113,8,23000000,0,1.350905705,0.3315642739,0.01266241656,1.391000032,13.78999996,353.963307,0.05,-0.745054,1.889162,6.177825138,-0.1167555153,-2.142895222,6.178471088,-0.7691452501,1.68011094,0.8090332747,-0.1392623186,-2.280951738,5.943370167,-0.1189232171,-2.145908117,6.129584659,-0.1164633036,-2.11085844,1.120309394,0.08829183877,0.004644709639
1970/01/01/09:00:08.173000,114,8,74000000,0,1.33515885,0.3567558836,0.01291821735,1.381999969,14.96000004,353.928423,0.051,-0.757503,1.885375,6.177216298,-0.1310484558,-2.14462924,6.177640915,-0.7800969335,1.675166656,0.8097176552,-0.168385148,-2.324222565,5.923004989,-0.1333394349,-2.14789319,6.126374323,-0.2505945861,-2.135781527,1.124864703,0.05824207887,0.01030363142
1970/01/01/09:00:08.175000,115,8,173000000,0,1.344148092,0.3501243622,0.01292760291,1.389000058,14.60000038,353.8858902,0.099,-0.768338,1.881189,6.17647396,-0.1322946846,-2.158204317,6.176318169,-0.7870818531,1.679059422,0.7834512591,-0.1682365835,-2.329238653,5.926408056,-0.1348831952,-2.162346125,6.120735858,-0.1701403558,-2.18401432,1.12627842,0.08465223014,-0.01168241538
1970/01/01/09:00:08.323000,116,8,223000000,0,1.351942351,0.339835295,0.01259012838,1.394000053,14.10999966,353.8452518,0.05,-0.780261,1.877186,6.175764686,-0.138406679,-2.157723188,6.175964355,-0.8051036025,1.693603504,0.7896624207,-0.17791605,-2.342743874,5.920496259,-0.1408914626,-2.161226034,6.120317448,-0.1989734173,-2.153183699,1.120728273,0.08334352076,-0.00771845039
