null_x,null_y,null_theta
-1.83868,-2.54061,5.91911
-1.87113,-2.52689,5.91214
-1.87659,-2.52394,5.91138
-1.87876,-2.52274,5.91116
-1.88365,-2.52031,5.91049
-1.86168,-2.52845,5.91615
-1.89377,-2.51486,5.90933
-1.89924,-2.51177,5.90856
-1.9035,-2.50907,5.9079
-1.90908,-2.50583,5.9071
-1.91196,-2.50418,5.9067
-1.91729,-2.5011,5.90596
-1.91977,-2.4997,5.90566
-1.9237,-2.49752,5.9057
-1.92663,-2.4959,5.90535
-1.93157,-2.49303,5.90479
-1.93411,-2.49155,5.90449
-1.9419,-2.48689,5.90345
-1.94888,-2.4823,5.90229
-1.95171,-2.48056,5.9019
-1.95689,-2.47736,5.90118
-1.95938,-2.47584,5.90087
-1.96357,-2.47338,5.90051
-1.96605,-2.47185,5.90051
-1.971,-2.46877,5.89992
-1.97349,-2.4672,5.89962
-1.97833,-2.46415,5.89902
-1.98087,-2.46253,5.89868
-1.98693,-2.45842,5.89784
-1.99551,-2.45262,5.89642
-1.99755,-2.4512,5.89623
-2.00189,-2.44854,5.89581
-2.00446,-2.44684,5.89545
-2.00921,-2.44367,5.89513
-2.01603,-2.43897,5.89434
-2.01884,-2.43716,5.89392
-2.02704,-2.43137,5.89277
-2.03535,-2.42541,5.89141
-2.03911,-2.42284,5.89112
-2.04156,-2.42111,5.89069
-2.04637,-2.41768,5.89036
-2.04872,-2.416,5.89007
-2.05337,-2.41264,5.88949
-2.05582,-2.41086,5.88917
-2.0605,-2.40744,5.88839
-2.06291,-2.40566,5.88814
-2.06926,-2.4007,5.88701
-2.04713,-2.40917,5.89274
-2.07752,-2.39458,5.88607
-2.08461,-2.38918,5.88538
-2.08911,-2.38572,5.88481
-2.09144,-2.38391,5.8845
-2.08345,-2.38565,5.88675
-2.07405,-2.38872,5.88963
-2.09032,-2.3801,5.88609
-2.10953,-2.36957,5.88217
-2.1164,-2.36401,5.88096
-2.12321,-2.35844,5.88035
-2.12557,-2.35649,5.88004
-2.13218,-2.35101,5.87891
-2.13658,-2.34733,5.87849
-2.1385,-2.34571,5.8784
-2.14322,-2.3416,5.87764
-2.14551,-2.33963,5.87726
-2.14957,-2.33597,5.87649
-2.15221,-2.33384,5.87604
-2.15661,-2.33002,5.87572
-2.15891,-2.328,5.87541
-2.16278,-2.32442,5.87476
-2.16952,-2.31861,5.87363
-2.17118,-2.31714,5.87386
-2.17523,-2.31341,5.87332
-2.17797,-2.31087,5.87274
-2.16983,-2.31233,5.87489
-2.18878,-2.30093,5.87109
-2.19096,-2.2989,5.87079
-2.19516,-2.29496,5.87013
-2.1973,-2.29295,5.86968
-2.20138,-2.28909,5.86898
-2.20565,-2.28498,5.8692
-2.20833,-2.28236,5.86864
-2.21304,-2.27776,5.86753
-2.21513,-2.27572,5.86714
-2.21928,-2.27164,5.86643
-2.22551,-2.26546,5.86575
-2.22761,-2.26338,5.86526
-2.23281,-2.2581,5.86454
-2.23735,-2.2534,5.86455
-2.24236,-2.24823,5.86325
-2.24447,-2.24605,5.86286
-2.24849,-2.24185,5.86208
-2.25449,-2.23554,5.8614
-2.25653,-2.23339,5.86088
-2.26033,-2.22934,5.86021
-2.26388,-2.22531,5.86024
-2.26575,-2.22328,5.86018
-2.26968,-2.21898,5.85935
-2.272,-2.21622,5.85871
-2.27624,-2.21177,5.85785
-2.27824,-2.20954,5.85746
-2.2841,-2.20301,5.8566
-2.28879,-2.19757,5.85589
-2.29287,-2.19271,5.8557
-2.29642,-2.18858,5.85508
-2.27434,-2.19721,5.86062
-2.30467,-2.17897,5.85321
-2.30841,-2.17454,5.85268
-2.31033,-2.17227,5.85238
-2.31477,-2.16676,5.85164
-2.31867,-2.16176,5.85122
