xji,yji,thetaji,vj,wj
-1.95842,-2.45358,5.89951,0.3,0.05
-1.96255,-2.45098,5.89902,0.3,0.05
-1.96664,-2.4484,5.89852,0.3,0.05
-1.97429,-2.44357,5.89752,0.3,0.05
-1.97826,-2.44103,5.89703,0.3,0.05
-1.98229,-2.43841,5.89653,0.3,0.05
-1.99007,-2.43334,5.89553,0.3,0.05
-1.99407,-2.43068,5.89504,0.3,0.05
-1.99829,-2.42782,5.89454,0.3,0.05
-2.00607,-2.42258,5.89354,0.3,0.05
-2.01374,-2.41735,5.89255,0.3,0.05
-2.02129,-2.41213,5.89155,0.3,0.05
-2.02525,-2.40934,5.89105,0.3,0.05
-2.02931,-2.40644,5.89055,0.3,0.05
-2.03684,-2.40108,5.88956,0.3,0.05
-2.04086,-2.39816,5.88905,0.3,0.05
-2.04445,-2.39556,5.88856,0.3,0.05
-2.04801,-2.39297,5.88807,0.3,0.05
-2.05168,-2.39028,5.88757,0.3,0.05
-2.05885,-2.38501,5.88657,0.3,0.05
-2.06593,-2.37975,5.88557,0.3,0.05
-2.06933,-2.3772,5.88508,0.3,0.05
-2.0723,-2.37501,5.88458,0.3,0.05
-2.07867,-2.37026,5.88358,0.3,0.05
-2.08163,-2.36806,5.88309,0.3,0.05
-2.08456,-2.36587,5.88259,0.3,0.05
-2.0875,-2.36367,5.88209,0.3,0.05
-2.09027,-2.3616,5.88159,0.3,0.05
-2.09655,-2.35682,5.8806,0.3,0.05
-2.09959,-2.35449,5.8801,0.3,0.05
-2.1026,-2.35218,5.8796,0.3,0.05
-2.10901,-2.34719,5.87861,0.3,0.05
-2.11199,-2.34487,5.87811,0.3,0.05
-2.11491,-2.34261,5.87761,0.3,0.05
-2.12127,-2.33755,5.87662,0.3,0.05
-2.12429,-2.33517,5.87612,0.3,0.05
-2.12735,-2.33273,5.87562,0.3,0.05
-2.13363,-2.32765,5.87463,0.3,0.05
-2.13658,-2.32528,5.87413,0.3,0.05
-2.13943,-2.323,5.87363,0.3,0.05
-2.14245,-2.32054,5.87314,0.3,0.05
-2.14544,-2.31811,5.87264,0.3,0.05
