ceres_huber_x,ceres_huber_y,ceres_huber_theta
-2.2993,-2.11399,5.80213
-2.30119,-2.11179,5.80114
-2.30307,-2.10959,5.80014
-2.30495,-2.10741,5.79912
-2.30682,-2.10524,5.7981
-2.31153,-2.10088,5.79656
-2.31346,-2.0987,5.79549
-2.31526,-2.09662,5.79444
-2.31995,-2.09233,5.79285
-2.32181,-2.09024,5.79176
-2.32366,-2.08816,5.79065
-2.32834,-2.08395,5.78903
-2.33019,-2.08191,5.78789
-2.33216,-2.08012,5.78739
-2.33694,-2.07619,5.78639
-2.3389,-2.07441,5.78587
-2.34086,-2.07263,5.78536
-2.34282,-2.07086,5.78484
-2.34477,-2.06909,5.78431
-2.34951,-2.06518,5.78328
-2.35423,-2.06126,5.78224
-2.35616,-2.0595,5.78169
-2.35809,-2.05775,5.78114
-2.36278,-2.05383,5.78009
-2.36475,-2.05205,5.77952
-2.3666,-2.05035,5.77897
-2.374,-2.04428,5.7774
-2.37603,-2.04278,5.77748
-2.37805,-2.04128,5.77755
-2.38013,-2.03972,5.77762
-2.38479,-2.03603,5.77722
-2.38679,-2.03449,5.7773
-2.38877,-2.03294,5.77739
-2.39342,-2.02914,5.77699
-2.39805,-2.02531,5.77659
-2.40012,-2.02364,5.77668
-2.40197,-2.02215,5.77681
-2.40392,-2.02057,5.77692
-2.40586,-2.01897,5.77703
-2.4078,-2.01737,5.77715
-2.40974,-2.01577,5.77727
-2.41173,-2.01411,5.77738
-2.41366,-2.01249,5.77751
-2.41809,-2.00854,5.77715
-2.41999,-2.00691,5.7773
-2.4219,-2.00527,5.77744
-2.42634,-2.00121,5.7771
-2.42824,-1.99956,5.77726
-2.43013,-1.99791,5.77743
-2.43202,-1.99625,5.7776
-2.4339,-1.99458,5.77778
-2.43578,-1.99292,5.77796
-2.43766,-1.99125,5.77815
-2.43954,-1.98957,5.77835
-2.4414,-1.98788,5.77855
-2.44326,-1.98618,5.77876
-2.44518,-1.98445,5.77897
-2.44701,-1.9828,5.77921
-2.44888,-1.98111,5.77944
-2.45314,-1.97682,5.77919
-2.455,-1.9751,5.77945
-2.45685,-1.97338,5.77972
-2.45869,-1.97165,5.77999
-2.46057,-1.96986,5.78027
-2.46236,-1.96818,5.78058
-2.46418,-1.96643,5.78088
-2.46604,-1.96462,5.78119
-2.46781,-1.96291,5.78153
-2.46961,-1.96114,5.78187
-2.47142,-1.95936,5.78222
-2.47327,-1.95752,5.78257
-2.47502,-1.95578,5.78295
-2.4768,-1.95397,5.78333
-2.47863,-1.95223,5.78393
-2.48251,-1.94736,5.78351
-2.48416,-1.94531,5.7836
-2.48582,-1.94325,5.7837
-2.48747,-1.94119,5.78381
-2.48916,-1.93907,5.78392
-2.49076,-1.93707,5.78406
-2.4924,-1.93501,5.7842
-2.49418,-1.93317,5.78499
-2.49789,-1.9281,5.78477
-2.4995,-1.92595,5.78507
-2.50113,-1.92373,5.78537
-2.50269,-1.92162,5.78569
-2.50428,-1.91946,5.78602
-2.50587,-1.91729,5.78635
-2.50745,-1.91511,5.7867
-2.50903,-1.91293,5.78706
-2.5106,-1.91074,5.78743
-2.51217,-1.90856,5.78781
-2.51569,-1.90332,5.78772
-2.51725,-1.90113,5.78814
-2.5188,-1.89893,5.78857
-2.52035,-1.89673,5.78902
-2.52174,-1.89423,5.78895
-2.525,-1.88861,5.78839
-2.52638,-1.88613,5.78835
-2.52783,-1.88374,5.78858
-2.5311,-1.87821,5.78833
-2.53258,-1.87576,5.78858
-2.53399,-1.87344,5.78886
-2.5372,-1.86787,5.78866
-2.53863,-1.86549,5.78897
-2.54178,-1.85989,5.78881
-2.54319,-1.8575,5.78916
-2.5446,-1.8551,5.78952
-2.54601,-1.8527,5.78991
-2.5491,-1.84697,5.7898
-2.55212,-1.84129,5.78974
-2.55347,-1.83894,5.79021
-2.55485,-1.83653,5.79068
-2.5578,-1.83079,5.79068
-2.5607,-1.82504,5.79071
-2.56206,-1.82261,5.79127
-2.56341,-1.82016,5.79184
-2.56626,-1.81427,5.79193
-2.56757,-1.81189,5.79257
-2.5689,-1.80943,5.79321
-2.57023,-1.80696,5.79388
-2.57296,-1.80096,5.79407
-2.57424,-1.79855,5.7948
-2.57555,-1.79606,5.79555
-2.57685,-1.79357,5.79632
-2.57945,-1.78753,5.79662
-2.58074,-1.78501,5.79745
-2.58203,-1.7824,5.7983
-2.5845,-1.77634,5.79871
-2.58575,-1.77377,5.79963
-2.58698,-1.77119,5.80057
-2.58825,-1.76865,5.80168
-2.58953,-1.766,5.8028
-2.59186,-1.75979,5.8035
-2.59309,-1.75718,5.8047
-2.59434,-1.75457,5.80594
-2.59658,-1.74815,5.80673
-2.59877,-1.74168,5.80757
-2.59979,-1.73872,5.80841
-2.60082,-1.73567,5.80926
-2.60163,-1.73248,5.80962
-2.60245,-1.7292,5.80998
-2.60411,-1.72203,5.80988
-2.60506,-1.71896,5.81093
-2.60601,-1.71589,5.812
-2.60694,-1.7128,5.8131
-2.60786,-1.7097,5.81422
-2.60947,-1.70257,5.81488
-2.61017,-1.69914,5.81554
-2.61085,-1.69571,5.81622
