ceres_null_x,ceres_null_y,ceres_null_theta
-1.73805,-2.58997,5.91089
-1.74096,-2.58858,5.91045
-1.74387,-2.58719,5.91001
-1.75116,-2.58434,5.90903
-1.75826,-2.58153,5.90806
-1.76542,-2.57866,5.90707
-1.76838,-2.57766,5.90761
-1.77132,-2.57665,5.90816
-1.77853,-2.5741,5.90821
-1.78146,-2.57304,5.90877
-1.78437,-2.57198,5.90933
-1.78726,-2.57088,5.90988
-1.79014,-2.56976,5.91045
-1.79301,-2.56863,5.91101
-1.79587,-2.56748,5.91158
-1.79872,-2.56632,5.91216
-1.80164,-2.56511,5.91272
-1.80857,-2.56218,5.91282
-1.81146,-2.56093,5.9134
-1.81426,-2.5597,5.91399
-1.81696,-2.55848,5.9146
-1.81973,-2.5572,5.9152
-1.8266,-2.554,5.91531
-1.82923,-2.55216,5.9151
-1.83196,-2.55072,5.9159
-1.83467,-2.54925,5.9167
-1.83744,-2.54772,5.91749
-1.84409,-2.54419,5.91776
-1.84676,-2.5427,5.91874
-1.84998,-2.54091,5.91966
-1.85206,-2.53968,5.92072
-1.85456,-2.53751,5.92072
-1.86102,-2.53317,5.92021
-1.86348,-2.531,5.92019
-1.86996,-2.52657,5.91965
-1.8723,-2.52444,5.91962
-1.87863,-2.52001,5.91907
-1.88101,-2.51783,5.91901
-1.88337,-2.51564,5.91896
-1.88961,-2.51116,5.91838
-1.89194,-2.50897,5.91831
-1.89426,-2.50677,5.91823
-1.90041,-2.50225,5.91764
-1.90268,-2.50005,5.91755
-1.90495,-2.49785,5.91746
-1.90719,-2.49564,5.91736
-1.90942,-2.49343,5.91726
-1.91146,-2.49048,5.91595
-1.91357,-2.4875,5.91461
-1.91929,-2.48228,5.91275
-1.92505,-2.47705,5.91084
-1.93078,-2.47185,5.90889
-1.93273,-2.46902,5.90743
-1.93467,-2.46621,5.90595
-1.94033,-2.46114,5.90392
-1.94224,-2.45839,5.90238
-1.94786,-2.4534,5.90031
-1.94974,-2.45071,5.89871
-1.95533,-2.44581,5.89658
-1.95718,-2.44317,5.89491
-1.9591,-2.44051,5.8932
-1.96464,-2.43575,5.89097
-1.96639,-2.43325,5.88923
-1.9682,-2.43074,5.88747
-1.97013,-2.42867,5.88674
-1.97206,-2.42661,5.886
-1.97398,-2.42458,5.88526
-1.97596,-2.42252,5.88449
-1.97778,-2.42055,5.88374
-1.97968,-2.41856,5.88297
-1.98155,-2.41657,5.88219
-1.98327,-2.41405,5.8805
-1.98498,-2.41156,5.87879
-1.9867,-2.4091,5.87706
-1.98841,-2.40669,5.87531
-1.99012,-2.40431,5.87354
-1.99182,-2.40196,5.87175
-1.99719,-2.3977,5.86942
-1.99888,-2.39542,5.86757
-2.00424,-2.39128,5.86518
-2.00592,-2.38909,5.86327
-2.00766,-2.38688,5.86133
-2.013,-2.38312,5.8593
-2.01473,-2.38119,5.85775
-2.01649,-2.3794,5.85644
-2.01832,-2.37761,5.8551
-2.02001,-2.37591,5.85377
-2.02547,-2.37244,5.8519
-2.02722,-2.37077,5.85053
-2.02897,-2.36913,5.84913
-2.03444,-2.3658,5.84721
-2.03997,-2.36247,5.84526
-2.04165,-2.36095,5.84381
-2.0434,-2.35942,5.84234
-2.04515,-2.35793,5.84086
-2.0469,-2.35646,5.83936
-2.04865,-2.35503,5.83785
-2.0504,-2.35361,5.83633
-2.05215,-2.35223,5.8348
-2.05391,-2.35088,5.83325
-2.05942,-2.348,5.83118
-2.06126,-2.34668,5.82959
-2.06296,-2.34546,5.82801
-2.06849,-2.34273,5.82589
-2.07027,-2.34154,5.82425
-2.07206,-2.34039,5.82261
-2.07764,-2.33782,5.82045
-2.07944,-2.33674,5.81877
-2.08137,-2.33603,5.81794
-2.08712,-2.33391,5.81661
-2.08906,-2.33322,5.81577
-2.091,-2.33256,5.81493
-2.09296,-2.33192,5.81408
-2.09492,-2.3313,5.81323
-2.10071,-2.32929,5.81188
-2.10651,-2.32729,5.81052
-2.10849,-2.32672,5.80965
-2.11047,-2.32617,5.80879
-2.1163,-2.32423,5.80742
-2.11837,-2.32368,5.80654
-2.12028,-2.32321,5.80568
-2.13,-2.31993,5.8038
-2.13217,-2.31985,5.80391
-2.13434,-2.31976,5.80404
-2.1366,-2.31965,5.80416
-2.14256,-2.31813,5.80381
-2.14474,-2.31804,5.80397
-2.14691,-2.31794,5.80413
-2.15294,-2.31633,5.80381
-2.15897,-2.31469,5.80351
-2.16132,-2.31452,5.8037
-2.16337,-2.31448,5.80394
-2.16557,-2.31437,5.80417
-2.16778,-2.31426,5.80441
-2.16999,-2.31415,5.80467
-2.17221,-2.31404,5.80493
-2.1745,-2.31389,5.8052
-2.17673,-2.31379,5.80549
-2.1827,-2.31203,5.80531
-2.18493,-2.31191,5.80564
-2.18717,-2.31179,5.80599
-2.19322,-2.30993,5.80586
-2.19548,-2.30981,5.80625
-2.19774,-2.30969,5.80665
-2.20001,-2.30957,5.80707
-2.20229,-2.30944,5.80751
-2.20457,-2.30932,5.80796
-2.20686,-2.3092,5.80843
-2.20916,-2.30907,5.80892
-2.21146,-2.30894,5.80943
-2.21376,-2.30881,5.80996
-2.21615,-2.30864,5.8105
-2.21841,-2.30856,5.81108
-2.22075,-2.30843,5.81167
-2.22683,-2.30628,5.8118
-2.22919,-2.30614,5.81246
-2.23155,-2.30599,5.81314
-2.23391,-2.30583,5.81384
-2.23635,-2.30563,5.81456
-2.23864,-2.30551,5.81532
-2.24101,-2.30533,5.8161
-2.24346,-2.30511,5.81689
-2.24577,-2.30496,5.81773
-2.24816,-2.30476,5.81859
-2.25056,-2.30456,5.81948
-2.25304,-2.3043,5.82038
-2.25537,-2.30412,5.82134
-2.25777,-2.30388,5.82232
-2.26022,-2.30371,5.82352
-2.26611,-2.30064,5.82347
-2.2684,-2.29998,5.82395
-2.2707,-2.29933,5.82446
-2.273,-2.29867,5.82499
-2.27538,-2.29796,5.82554
-2.27763,-2.29736,5.82613
-2.27996,-2.29671,5.82674
-2.28245,-2.29639,5.82829
-2.28829,-2.29297,5.82861
